timestamp,normalization,optimizer,lr,epochs,batch_size,mae,rmse,r2,mape
2025-09-24 14:41:33,z_score,SGD,0.001,100,16,140.85027,202.21573,0.24405582905049938,0.43544334
2025-09-24 14:43:27,z_score,SGD,0.001,200,16,140.74016,202.40344,0.24265162744003943,0.4336192
2025-09-24 14:44:36,z_score,Adam,0.001,100,16,141.02902,202.24521,0.24383528310940594,0.43638393
2025-09-24 14:46:55,z_score,Adam,0.001,200,16,140.72015,202.74149,0.2401197656931855,0.43148324
2025-09-24 14:47:32,z_score,Adam,0.001,200,128,140.82881,202.22527,0.2439844598248163,0.43535128
2025-09-24 14:48:51,z_score,Adam,0.001,400,128,140.72911,202.47527,0.24211409507930048,0.43353853
2025-09-24 14:50:05,min_max,Adam,0.001,400,128,140.7667,202.31035,0.2433482155039861,0.434805
2025-09-24 14:51:15,min_max,SGD,0.001,400,128,140.8777,202.79398,0.23972624003088117,0.43409652
2025-09-24 14:52:26,min_max,SGD,0.0001,400,128,152.54399,217.91048,0.12215852824823203,0.47799578
2025-09-24 14:53:34,min_max,SGD,0.01,400,128,140.77658,202.23051,0.2439452781355731,0.43511283
2025-09-24 14:55:15,min_max,SGD,0.01,600,128,140.81439,202.13464,0.24466182062074382,0.4358858
2025-09-24 14:57:09,min_max,Adam,0.01,600,128,142.70644,200.01093,0.26045033595683886,0.4665638
2025-09-24 14:59:04,z_score,SGD,0.01,600,128,140.79121,202.11824,0.24478442518513632,0.4358545
2025-09-24 15:00:51,z_score,SGD,0.01,600,128,140.79121,202.11824,0.24478442518513632,0.4358545
2025-09-24 15:02:46,min_max,SGD,0.01,200,16,140.54916,204.802,0.2245955559725008,0.41873854
2025-09-24 15:05:08,min_max,AdamW,0.01,200,16,141.7816,210.90025,0.1777306588763562,0.39824405
2025-09-24 15:07:18,z_score,AdamW,0.001,200,16,140.72227,202.75023,0.24005432973719387,0.43149447
